Date,adjusted first dose,adjusted second dose,adjusted third dose,adjusted fourth dose,adjusted tests,Entry,Exit,Infection0.2,Infection0.5,infection1.0,normal speed,student speed,death rate
24-Jan-20,0,0,0,0,0,5,5,0.25,0.2,0.15,100,100,0
25-Jan-20,0,0,0,0,0,5,5,0.25,0.2,0.15,100,100,0
26-Jan-20,0,0,0,0,0,5,5,0.25,0.2,0.15,100,100,0
27-Jan-20,0,0,0,0,0,5,5,0.25,0.2,0.15,100,100,0
28-Jan-20,0,0,0,0,0,5,5,0.25,0.2,0.15,100,100,0
29-Jan-20,0,0,0,0,0,5,5,0.25,0.2,0.15,100,100,0
30-Jan-20,0,0,0,0,0,5,5,0.25,0.2,0.15,100,100,0
31-Jan-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
1-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
2-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
3-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
4-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
5-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
6-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
7-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
8-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
9-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
10-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
11-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
12-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
13-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
14-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
15-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
16-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
17-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
18-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
19-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
20-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
21-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
22-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
23-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
24-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
25-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
26-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
27-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
28-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
29-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
1-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
2-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
3-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
4-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
5-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
6-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
7-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
8-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
9-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
10-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
11-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
12-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
13-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
14-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
15-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
16-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
17-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
18-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
19-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
20-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
21-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
22-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
23-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
24-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
25-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,150,120
26-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,150,120
27-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,150,120
28-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,150,120
29-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,150,120
30-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,150,120
31-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,150,120
1-Apr-20,0,0,0,0,0,1,1,0.25,0.2,0.15,100,150,120
2-Apr-20,0,0,0,0,1,1,1,0.25,0.2,0.15,100,150,120
3-Apr-20,0,0,0,0,1,1,1,0.25,0.2,0.15,100,150,120
